time,"
Boston Celtics
",score,"
Dallas Mavericks
",url
11:19.0,"{'player': 'L. Kornet', 'action': 'Offensive rebound by'}",24-28,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
11:19.0,"{'player': 'L. Kornet', 'action': 'makes 2-pt layup from 2 ft'}",26-28,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:59.0,"{'player': '', 'action': ''}",26-30,"{'player': 'D. Lively L. Dončić', 'action': 'D. Lively makes 2-pt layup from 2 ft (assist by L. Dončić )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:47.0,"{'player': 'S. Hauser J. Holiday', 'action': 'S. Hauser makes 3-pt jump shot from 26 ft (assist by J. Holiday )'}",29-30,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:33.0,"{'player': '', 'action': ''}",29-30,"{'player': 'G. Williams', 'action': 'misses 3-pt jump shot from 26 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:29.0,"{'player': 'J. Tatum', 'action': 'Defensive rebound by'}",29-30,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:25.0,"{'player': 'J. Holiday', 'action': 'makes 3-pt jump shot from 26 ft'}",32-30,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:06.0,"{'player': '', 'action': ''}",32-30,"{'player': 'L. Dončić', 'action': 'misses 2-pt jump shot from 4 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:04.0,"{'player': '', 'action': ''}",32-30,"{'player': 'L. Dončić', 'action': 'Offensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
10:02.0,"{'player': '', 'action': ''}",32-30,"{'player': 'J. Tatum D. Lively', 'action': 'Personal foul by J. Tatum (drawn by D. Lively )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:55.0,"{'player': '', 'action': ''}",32-30,"{'player': 'T. Hardaway', 'action': 'misses 3-pt jump shot from 25 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:53.0,"{'player': 'J. Holiday', 'action': 'Defensive rebound by'}",32-30,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:49.0,"{'player': 'J. Holiday', 'action': 'misses 3-pt jump shot from 27 ft'}",32-30,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:49.0,"{'player': '', 'action': ''}",32-30,"{'player': 'D. Lively', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:40.0,"{'player': '', 'action': ''}",32-32,"{'player': 'T. Hardaway', 'action': 'makes 2-pt layup from 4 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:26.0,"{'player': 'J. Tatum J. Holiday', 'action': 'J. Tatum makes 3-pt jump shot from 25 ft (assist by J. Holiday )'}",35-32,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:11.0,"{'player': '', 'action': ''}",35-32,"{'player': 'L. Dončić', 'action': 'misses 3-pt jump shot from 26 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:08.0,"{'player': '', 'action': ''}",35-32,"{'player': 'D. Lively', 'action': 'Offensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:06.0,"{'player': '', 'action': ''}",35-32,"{'player': 'L. Dončić', 'action': 'misses 2-pt jump shot from 11 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
9:04.0,"{'player': 'J. Tatum', 'action': 'Defensive rebound by'}",35-32,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:58.0,"{'player': 'J. Holiday', 'action': 'misses 3-pt jump shot from 23 ft'}",35-32,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:55.0,"{'player': '', 'action': ''}",35-32,"{'player': 'L. Dončić', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:47.0,"{'player': '', 'action': ''}",35-32,"{'player': 'J. Tatum L. Dončić', 'action': 'Personal foul by J. Tatum (drawn by L. Dončić )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:47.0,"{'player': 'A. Horford L. Kornet', 'action': 'A. Horford enters the game for L. Kornet'}",35-32,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:47.0,"{'player': '', 'action': ''}",35-32,"{'player': 'D. Jones D. Lively', 'action': 'D. Jones enters the game for D. Lively'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:47.0,"{'player': '', 'action': ''}",35-32,"{'player': 'M. Kleber G. Williams', 'action': 'M. Kleber enters the game for G. Williams'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:39.0,"{'player': '', 'action': ''}",35-32,"{'player': 'L. Dončić', 'action': 'misses 2-pt layup from 2 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
8:37.0,"{'player': 'J. Tatum', 'action': 'Defensive rebound by'}",35-32,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
