Date,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team,Point Differential
"Fri, Nov 24, 2023",Orlando Magic,Boston Celtics,113,96,Orlando Magic,Boston Celtics,17
"Fri, Nov 24, 2023",Memphis Grizzlies,Phoenix Suns,89,110,Phoenix Suns,Memphis Grizzlies,21
"Fri, Nov 24, 2023",New York Knicks,Miami Heat,100,98,New York Knicks,Miami Heat,2
"Fri, Nov 24, 2023",Toronto Raptors,Chicago Bulls,121,108,Toronto Raptors,Chicago Bulls,13
"Fri, Nov 24, 2023",Houston Rockets,Denver Nuggets,105,86,Houston Rockets,Denver Nuggets,19
"Fri, Nov 24, 2023",Indiana Pacers,Detroit Pistons,136,113,Indiana Pacers,Detroit Pistons,23
"Fri, Nov 24, 2023",Milwaukee Bucks,Washington Wizards,131,128,Milwaukee Bucks,Washington Wizards,3
"Fri, Nov 24, 2023",Minnesota Timberwolves,Sacramento Kings,111,124,Sacramento Kings,Minnesota Timberwolves,13
"Fri, Nov 24, 2023",Golden State Warriors,San Antonio Spurs,118,112,Golden State Warriors,San Antonio Spurs,6
"Fri, Nov 24, 2023",Los Angeles Clippers,New Orleans Pelicans,106,116,New Orleans Pelicans,Los Angeles Clippers,10
